Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Merry Go Round,"Hotel Pushp Villa,Tajganj, East Agra", East Agra,Agra,"North Indian,  Continental,  Oriental ",3.9,43,2100
Shree Nav Durga Sandwiches,"Aastha Corporate Capital,Vesu, South Surat", South Surat,Surat,Fast Food,3.3,5,500
Brother's Cafe,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Fast Food",4.6,3,500
Hola,"Southern Avenue, South Kolkata", South Kolkata,Kolkata,"North Indian,  Chinese,  Continental,  Italian,  Asian",4.1,261,1400
The Mafia,"Viman Nagar, East Pune", East Pune,Pune,"North Indian,  Asian,  Italian,  Continental",3.8,172,1900
Kanti Sweets,"PGR Tower,HSR Layout, South Bangalore", South Bangalore,Bangalore,"Mithai,  Desserts",5.0,4,500
Exotica,"Business Square,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Mughlai,  Oriental ",4.4,162,2600
PizzaExpress,"Ambience Mall,DLF Phase - 3, Gurgaon", Gurgaon,Gurgaon,"Italian,  European",4.5,287,2200
Punjab Grill,"The Capital Building,Bandra Kurla Complex, Bandra", Bandra,Mumbai,"North Indian,  Mughlai",4.3,197,3000
Brix,"Industrial Area, South Ludhiana", South Ludhiana,Ludhiana,"Fast Food,  Italian",4.4,2,900
Arogo,"Grand Uniara Hotel,Narayan Singh Circle, East Jaipur", East Jaipur,Jaipur,"North Indian,  South Indian,  Seafood",4.2,4,1400
High Steak,"Ramdaspeth, West Nagpur", West Nagpur,Nagpur,North Indian,5.0,1,800
Ching Singh,"Logix City Centre Mall,Sector 32, Noida", Noida,Noida,"Asian,  North Indian,  Chinese,  Thai,  Oriental ",4.1,212,1500
Spice Roots By Hotel Rigal Blu,"Hotel Rigal Blu,Sector 32, East Ludhiana", East Ludhiana,Ludhiana,"North Indian,  Chinese,  Continental",3.6,10,1600
The White Fresco,"Sajjan Nagar, South Udaipur", South Udaipur,Udaipur,"North Indian,  Chinese,  Continental",3.4,9,700
Marigold,"Golden Tulip,Mirza Ismail Road, West Jaipur", West Jaipur,Jaipur,"North Indian,  Continental,  Oriental ",3.8,6,2000
ABs - Absolute Barbecues,"Dharampeth, West Nagpur", West Nagpur,Nagpur,"North Indian,  Barbecue,  Seafood",4.6,137,1200
Palm Jumeira,"Thousand Lights, Central Chennai", Central Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Arabian",4.4,48,800
New Matsya Sagar,"Porvorim, North Goa", North Goa,Goa,"North Indian,  Goan,  Chinese,  Seafood",4.7,3,700
Krystal Bar,"Hilton Hotel,Bais Godam, Central Jaipur", Central Jaipur,Jaipur,Finger Food,2.5,6,3200
Fifty9,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental,  Oriental ",3.7,193,2800
Global Punjab,"Riddhi Siddhi Heights,Wakad, West Pune", West Pune,Pune,"North Indian,  Chinese,  Mughlai",3.8,95,1200
"Haiku,The Asian Kitchen","Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Asian,  Thai,  Japanese,  Indonesian",4.4,275,1500
Taco Bell,"Select Citywalk Mall,Saket, South Delhi", South Delhi,Delhi,"Mexican,  Tex Mex",4.4,19,500
Cottage Grill,"Dadar West, South Mumbai", South Mumbai,Mumbai,"North Indian,  Chinese,  Mughlai",4.3,71,1200
Peninsula Next Pure Veg,"Sion, Central Suburbs", Central Suburbs,Mumbai,"North Indian,  Chinese,  Mexican",4.3,130,1200
Cayenne - The House of Spice,"Sector 63, Noida", Noida,Noida,"North Indian,  Oriental ",4.3,70,1700
Dayro - Multi Cuisine Restaurant,"Vesu, South Surat", South Surat,Surat,"North Indian,  Gujarati,  Chinese",4.2,33,500
Cafe Delhi Heights,"Sangam Courtyard,RK Puram, South Delhi", South Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.5,1046,2000
The Square Meal,"Dumas, South Surat", South Surat,Surat,"North Indian,  Oriental ,  Chinese,  Continental",4.2,10,1300
Cafe Repertwahr,"Indira Nagar, Central Lucknow", Central Lucknow,Lucknow,"North Indian,  Chinese,  Continental,  Italian,  Seafood",4.3,149,900
Drunken Monkey on Juice,"Sarat Bose Road, South Kolkata", South Kolkata,Kolkata,"Health Food,  Juice,  Shakes",4.3,47,500
Genuine Broaster Chicken,"Satra Plaza,Vashi, Navi Mumbai", Navi Mumbai,Mumbai,"Finger Food,  Continental,  American",4.3,628,1000
The Mask Cafe And Lounge,"Kingswood Avenue,Crossings Republik, Ghaziabad", Ghaziabad,Ghaziabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Mexican,  American",5.0,1,1300
Times Cafe,"Fatehgunj, North Vadodara", North Vadodara,Vadodara,Fast Food,4.0,1,400
Haristo Cafe & Pizzeria,"Advocate Chamber,Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Italian,  Chinese,  Continental,  Shakes",3.3,3,800
Cinch,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mediterranean",3.9,62,2200
Southern Chinese,"Anna Nagar, North Chennai", North Chennai,Chennai,"Chinese,  Seafood",4.2,83,800
Andhra Biryanis,"Nagawara, North Bangalore", North Bangalore,Bangalore,"North Indian,  Chinese,  Biryani",3.9,3,600
Unplugged Courtyard,"Tajganj, East Agra", East Agra,Agra,"North Indian,  Continental,  Mediterranean,  Fast Food",4.2,54,1200
Buttercup Bungalow,"The Mall Avenue,Sadar Bazaar, Central Lucknow", Central Lucknow,Lucknow,"Desserts,  Fast Food,  Tea",4.7,8,1000
Chapter Twelve,"Sector 12, Faridabad", Faridabad,Noida,"North Indian,  Continental,  Asian,  Multi-Cuisine",4.2,244,2400
Guru Nanak,"Sector 70, Mohali", Mohali,Chandigarh,"North Indian,  South Indian",4.3,4,600
Rominus Pizza and Burger,"Vidhyadhar Nagar, North Jaipur", North Jaipur,Jaipur,"Fast Food,  Pizza",3.8,46,600
The Post Office Bistro Bar,"Solitaire Castle,Vasai West, North Western", North Western,Mumbai,"North Indian,  Continental,  Asian",3.9,47,1000
Toss Chinese & Barbecue,"Ramdaspeth, West Nagpur", West Nagpur,Nagpur,"North Indian,  Chinese,  Barbecue",3.3,4,300
The Yellow Chilli,"Sector 104, Noida", Noida,Noida,"North Indian,  Mughlai",4.5,226,1800
Chaayos,"Ardee Mall,Ardee City, Gurgaon", Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",3.3,4,500
VietNom,"Cyber Hub,DLF Cyber City, Gurgaon", Gurgaon,Gurgaon,Vietnamese,4.4,209,2500
Waf Bites,"Mogappair, West Chennai", West Chennai,Chennai,"Desserts,  Waffle",3.9,13,300
Sam's Pizza,"Vraj Avenue,Navrangpura, West Ahmedabad", West Ahmedabad,Ahmedabad,"Pizza,  Italian",4.2,80,600
Budapest Bake Inn,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"Fast Food,  Desserts",3.6,4,700
Neo Politan Pizza,"Prime Shoppers,Vesu, South Surat", South Surat,Surat,"Fast Food,  Pizza,  Italian",3.3,18,500
Uncultured Cafe & Bar,"Kailash Colony, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Finger Food",4.3,2548,1500
Sagar Ratna,"Bagadiya Bhawan,C Scheme, Central Jaipur", Central Jaipur,Jaipur,"South Indian,  North Indian,  Chinese",3.7,78,600
The Terrace Restro-Lounge,"Shopprix Mall,Vaishali, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese",4.2,69,1500
Maharaja Chaap,"Aliganj, North Lucknow", North Lucknow,Lucknow,"North Indian,  Fast Food",3.9,20,800
Mrs. Wong's,"Sector 35, West Chandigarh", West Chandigarh,Chandigarh,Asian,4.1,13,600
The Ropeway Restaurant,"Aakash Retail,Vesu, South Surat", South Surat,Surat,"North Indian,  Multi-Cuisine",4.3,244,500
The Deli,"Hotel Novotel Lucknow,Gomti Nagar, East Lucknow", East Lucknow,Lucknow,"Desserts,  Bakery and Confectionary,  Fast Food",4.0,1,800
Kebabs and Curries Company,"World Trade Park,Malviya Nagar, South Jaipur", South Jaipur,Jaipur,"North Indian,  Chinese,  Mughlai",4.5,107,1000
Seven Season,"Vesu, South Surat", South Surat,Surat,"Street Food,  Fast Food",4.2,7,300
Riyasat,"South City Mall,Jadavpur, South Kolkata", South Kolkata,Kolkata,North Indian,4.6,64,1700
Moets Curry Leaf,"Defence Colony, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai,  Kashmiri",4.1,239,2000
Hotel Riyasat,"Industrial Area, South Ludhiana", South Ludhiana,Ludhiana,"North Indian,  Oriental ,  Mughlai",5.0,3,2600
The Chocolate Room,"Shree Krishna Center,Navrangpura, West Ahmedabad", West Ahmedabad,Ahmedabad,"Desserts,  Coffee,  Ice Cream,  Fast Food,  Shakes",3.5,2,500
Aha! Baangali,"Viman Nagar, East Pune", East Pune,Pune,"Bengali,  Seafood,  Desserts",4.9,5,700
Subway,"MGF Metropolitan Mall,MG Road, Gurgaon", Gurgaon,Gurgaon,Health Food,4.2,8,500
Spice It,"Civil Lines, Central Jaipur", Central Jaipur,Jaipur,"North Indian,  Continental,  Oriental ",4.3,12,1500
New Sernyaa,"Adarsh Nagar, Andheri West", Andheri West,Mumbai,"Tibetan,  Chinese,  Seafood,  Burmese",1.7,3,800
BeingFit Kitchen & Cafe,"Panchwati, Central Udaipur", Central Udaipur,Udaipur,"Italian,  Continental,  Mexican",4.3,30,400
Fiona,"Marol, Andheri East", Andheri East,Mumbai,"North Indian,  South Indian,  Malvani",4.7,3,1000
Peace,"The Park,Calangute, North Goa", North Goa,Goa,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",3.8,6,1700
Spice It,"MG Road, North Kochi", North Kochi,Kochi,"Continental,  North Eastern,  Asian",3.3,15,800
Riyasat e Hind Dhaba,"Ballygunge, South Kolkata", South Kolkata,Kolkata,"North Indian,  Chinese,  Mughlai",4.4,235,1100
Bada Saab's,"Phase 3, Mohali", Mohali,Chandigarh,"North Indian,  Chinese",1.0,1,800
Bazaar - All Day Diner,"Grand by GRT Hotels,Thyagaraya Nagar, Central Chennai", Central Chennai,Chennai,"Multi-Cuisine,  North Indian,  Continental,  South Indian,  Asian",4.3,77,2000
Laranja,"Cidade De Goa,Panjim, North Goa", North Goa,Goa,"Seafood,  Goan,  North Indian,  Mediterranean",4.1,29,1000
Enjoy,"Rajhans Cinemas,Piplod, South Surat", South Surat,Surat,"North Indian,  Chinese",3.0,1,1000
Back To Source - Organic Restaurant,"Sector 17, Central Chandigarh", Central Chandigarh,Chandigarh,"North Indian,  Continental,  Bakery and Confectionary",4.4,34,1200
Maple Restro Bar,"Agarwal Arcade,Thane West, Thane", Thane,Mumbai,"North Indian,  Chinese,  Seafood,  Mughlai",4.1,21,1000
Amaya,"The Fern Residency,Sayajiganj, Central Vadodara", Central Vadodara,Vadodara,"North Indian,  Fast Food",3.9,15,900
Tirupati's Dosa Factory,"Civil Lines, North Agra", North Agra,Agra,South Indian,4.1,35,600
Mughal-E-Hazam,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,5.0,1,1200
Theos,"Cyber Hub,DLF Cyber City, Gurgaon", Gurgaon,Gurgaon,"Desserts,  Bakery and Confectionary,  Fast Food",4.3,15,900
Whatta Waffle,"Vadiwadi, Central Vadodara", Central Vadodara,Vadodara,"Desserts,  Fast Food",5.0,2,500
Cafe Delhi Heights,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.5,1251,2000
Subway,"Phase 10, Mohali", Mohali,Chandigarh,Health Food,4.6,55,500
Jamun,"Assagao, North Goa", North Goa,Goa,"North Indian,  Goan",4.6,22,1800
The Chocolate Room,"Gokulpeth, West Nagpur", West Nagpur,Nagpur,"Desserts,  Bakery and Confectionary,  Coffee",4.3,4,500
Orbiyo Natural Icecreams,"Balaji Arcade,Manish Nagar, South Nagpur", South Nagpur,Nagpur,"Desserts,  Ice Cream",4.6,6,200
California Burrito,"Sigma Central Mall,Vasanth Nagar, Central Bangalore", Central Bangalore,Bangalore,"Mexican,  Fast Food",4.6,48,500
Panorama,"Park Plaza Ludhiana,Gurdev Nagar, Central Ludhiana", Central Ludhiana,Ludhiana,"North Indian,  Continental",3.9,7,2500
China Town,"Gopalapuram, Central Chennai", Central Chennai,Chennai,"Chinese,  Seafood",4.5,172,1200
Marky Momos,"Shobhagpura, West Udaipur", West Udaipur,Udaipur,Chinese,3.9,10,1000
The Ladakhi Kitchen,"DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"Chinese,  Tibetan",4.3,8,800
Kulture Sports Bar,"Hoysala inn,Kompally, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Chinese,  South Indian",3.4,31,1500
The Market,"Fairfield by Marriott Indore,Vijay Nagar, East Indore", East Indore,Indore,"Fast Food,  Coffee,  Tea",4.3,17,800
Nareshbhai Bhelwala,"Begampura, North Surat", North Surat,Surat,"Street Food,  Fast Food",3.2,5,400
IM Groot,"Hazratganj, Central Lucknow", Central Lucknow,Lucknow,"Chinese,  Bakery and Confectionary,  Fast Food",5.0,1,600
Marine Room,"The Piccadily Lucknow,Alambagh, South Lucknow", South Lucknow,Lucknow,"North Indian,  Mughlai,  Continental,  Oriental ",4.4,16,3000
SkyHouse,"Logix City Centre Mall,Sector 32, Noida", Noida,Noida,"Finger Food,  North Indian,  Italian,  Chinese,  Continental",4.2,969,2300
Country Roads,"DLF Galleria,New Town, 24 Parganas North", 24 Parganas North,Kolkata,"Finger Food,  North Indian,  Chinese,  Continental",4.4,164,1600
Vatika,"Charmwood Village, Faridabad", Faridabad,Noida,"North Indian,  Chinese",3.8,22,1100
Zaika The Emperors Kitchen,"Gurdev Nagar, Central Ludhiana", Central Ludhiana,Ludhiana,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mughlai",4.2,25,1400
MiCasa,"Gokulpeth, West Nagpur", West Nagpur,Nagpur,"North Indian,  Chinese",4.6,2,1200
Vintage Restaurant And Bar,"Nallakunta, Central Hyderabad", Central Hyderabad,Hyderabad,"North Indian,  Chinese",4.0,10,1000
Jamavar,"The Leela Goa,Cavelossim, South Goa", South Goa,Goa,"North Indian,  Mughlai",4.8,4,4600
Ambarsariyaa Authentic Amritsari,"Kharadi, East Pune", East Pune,Pune,"North Indian,  Mughlai",4.5,109,1000
Wow! Momo,"Girish Park, North Kolkata", North Kolkata,Kolkata,"Fast Food,  Tibetan",4.1,46,400
The Eatery,"Four Points By Sheraton Hotel,Tonk Road, South Jaipur", South Jaipur,Jaipur,"North Indian,  Continental,  Italian,  Oriental ",4.1,24,1500
Penthouse,"Surya Commercial Complex,Sarabha Nagar, West Ludhiana", West Ludhiana,Ludhiana,"North Indian,  European,  Asian,  Finger Food",3.7,22,2100
Rootage Restaurant and Lounge,"Nada Khada, Central Udaipur", Central Udaipur,Udaipur,"North Indian,  Fast Food,  Italian,  Mexican",4.2,64,1200
Pulp Fiction,"Purasavakkam, North Chennai", North Chennai,Chennai,"Juice,  Shakes,  Fast Food",4.3,5,400
Pablo - The Art Cafe' Lounge,"Civil Lines, West Nagpur", West Nagpur,Nagpur,"Multi-Cuisine,  Italian,  Chinese,  Continental,  Fast Food",4.6,110,1300
The Shake Maker,"Navrangpura, West Ahmedabad", West Ahmedabad,Ahmedabad,"Desserts,  Shakes,  Fast Food",5.0,2,400
Parkview Heights,"Ashok Nagar, Central Udaipur", Central Udaipur,Udaipur,"North Indian,  Chinese,  Continental,  Mughlai",4.1,14,600
The Reader's Cafe,"Sector 18, Noida", Noida,Noida,"Italian,  Continental",4.2,17,1200
Sukoon Village,"Hadapsar, East Pune", East Pune,Pune,"North Indian,  Chinese,  Seafood",4.0,242,1500
All Stir Fry - Waterstones Hotel,"Marol, Andheri East", Andheri East,Mumbai,"Chinese,  Asian,  Japanese",4.4,152,2500
Caprice,"Radisson Lucknow City Center,Aminabad, Central Lucknow", Central Lucknow,Lucknow,"Continental,  North Indian",4.2,114,1600
Berco's,"Crown Interiorz Mall,Sector 35, Faridabad", Faridabad,Noida,"Chinese,  Thai",4.3,226,1300
Pokket Cafe,"Nigdi, West Pune", West Pune,Pune,"Fast Food,  Tea,  Shakes",2.9,7,400
Cake Waves,"Virugambakkam, West Chennai", West Chennai,Chennai,"Desserts,  Bakery and Confectionary,  Fast Food",2.5,2,400
Coffee Culture The Ristorante Lounge,"Shobhagpura, West Udaipur", West Udaipur,Udaipur,"Italian,  Pizza,  Fast Food,  Sizzlers",4.2,99,900
Makers Of Milkshakes,"Kodambakkam, West Chennai", West Chennai,Chennai,"Shakes,  Waffle,  Fast Food",4.0,2,300
Cafe Stadia,"Beliaghata, East Kolkata", East Kolkata,Kolkata,"North Indian,  Oriental ,  Fast Food,  Continental",5.0,1,700
Minnie's Kitchen,"Sector 79, Faridabad", Faridabad,Noida,"North Indian,  Chinese,  Fast Food",3.8,14,400
Garam Dharam,"Mohan Nagar, Ghaziabad", Ghaziabad,Ghaziabad,North Indian,3.6,44,1300
Bay Leaf,"Bamboo Saa Resort & Spa,Fateh Sagar, West Udaipur", West Udaipur,Udaipur,"North Indian,  Continental,  Oriental ,  Mexican",4.6,9,1700
Chakh Le Veg - Non Veg,"Shinde Complex,Bavdhan, West Pune", West Pune,Pune,"North Indian,  Chinese,  South Indian,  Street Food",4.1,17,600
Curries,"Rudra Path Building,S G Highway, West Ahmedabad", West Ahmedabad,Ahmedabad,"North Indian,  Chinese,  Continental",4.5,145,1500
Woodies,"Hotel Vijay Paradise,Khurram Nagar, North Lucknow", North Lucknow,Lucknow,Multi-Cuisine,4.1,25,1000
The Whisky Bar & Brewpub,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian,  Chinese,  Continental,  Fast Food",4.2,113,2500
Chettiyar Veedu,"Egmore, North Chennai", North Chennai,Chennai,"South Indian,  Chettinad",4.1,76,600
Shree Rathnam,"Wave Mall,BRS Nagar, West Ludhiana", West Ludhiana,Ludhiana,South Indian,4.1,20,600
Cafe Hawkers,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Fast Food",4.3,712,1200
The Locals Bar & Cafe,"AD Complex,Sadar, West Nagpur", West Nagpur,Nagpur,"North Indian,  Continental,  Mexican",4.4,2,900
Ethyl Bar,"Radisson Blu Hotel Indore,Vijay Nagar, East Indore", East Indore,Indore,Finger Food,4.3,2,2800
Madrina,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"North Indian,  Italian,  Chinese",4.2,370,2200
Hotel Darshan,"Naroda, North Ahmedabad", North Ahmedabad,Ahmedabad,"North Indian,  Chinese,  Indian Cuisine",5.0,1,700
Spice Klub,"Nungambakkam, Central Chennai", Central Chennai,Chennai,"Modern Indian,  North Indian",4.6,220,2000
Ambience All Day Dining,"Kandivali East, North Western", North Western,Mumbai,"Continental,  Multi-Cuisine,  North Indian,  Chinese,  Seafood",4.2,105,1500
Biryani By Kilo,"Model Town, South Ludhiana", South Ludhiana,Ludhiana,"Biryani,  Mughlai",4.6,55,1200
MoMo 2 Go – The Patisserie Shop,"Courtyard By Marriott Agra,Tajganj, East Agra", East Agra,Agra,"Coffee,  Tea",4.5,2,500
Star Ultimate Pizza,"Arjun Nagar, West Agra", West Agra,Agra,Fast Food,4.4,2,400
38 Street,"Sector 38, West Chandigarh", West Chandigarh,Chandigarh,Fast Food,4.6,11,500
Katani Dhaba,"VIP Road, Zirakpur", Zirakpur,Chandigarh,"North Indian,  Chinese,  South Indian",4.0,1,500
The Cafe Barrel,"Dharampeth, West Nagpur", West Nagpur,Nagpur,"North Indian,  Chinese,  Fast Food",3.4,7,1300
Barbeque Delight,"Bommanahalli, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  Chinese,  South Indian,  Seafood,  Arabian,  Kerala,  Biryani",3.9,5,700
Marky Momos,"Sparsh Arcade,Chandkheda, North Ahmedabad", North Ahmedabad,Ahmedabad,"Chinese,  Fast Food,  Pizza,  Burger,  Shakes",4.1,38,900
Spice Factory,"White Square Building,Hinjewadi, West Pune", West Pune,Pune,"North Indian,  Finger Food",4.1,2478,1700
Angaraa,"The Mark Building,Old Palasia, Central Indore", Central Indore,Indore,"North Indian,  Chinese",3.5,116,800
Eat Retreat,"Sarjapur Road, South Bangalore", South Bangalore,Bangalore,North Indian,4.5,15,500
Tamarind,"Fariyas Hotel,Colaba, South Mumbai", South Mumbai,Mumbai,"South Indian,  North Indian,  Continental",4.3,79,2000
Brothers The Dining Restro,"Rajendra Nagar, South Indore", South Indore,Indore,North Indian,3.3,74,600
Burnout Cafe,"Infantry Road, Central Bangalore", Central Bangalore,Bangalore,"Continental,  Chinese",3.9,51,600
Frangipani,"Ambrosia Resort and Spa,Bavdhan, West Pune", West Pune,Pune,"North Indian,  Seafood,  Chinese,  Continental",4.0,34,1500
Ark,"Hiran Magri, South Udaipur", South Udaipur,Udaipur,"Continental,  Oriental ,  North Indian",5.0,3,2200
Flavours,"Radha Hometel Hotel,Whitefield, East Bangalore", East Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",4.1,6,1000
Cremeux,"Santa Cruz, North Goa", North Goa,Goa,"Italian,  Fast Food,  Desserts",5.0,4,800
Makhna,"Seawoods, Navi Mumbai", Navi Mumbai,Mumbai,North Indian,3.2,5,1700
SXVIII,"Radisson Blu MBD Noida,Sector 18, Noida", Noida,Noida,"North Indian,  Italian,  Chinese,  Thai,  Mediterranean",4.2,79,4400
Howdie Foodie,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese",4.2,7,1200
Kimchi,"Kharadi, East Pune", East Pune,Pune,"Thai,  Chinese,  Asian",3.5,16,700
The Joint Al Mandi,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Lebanese,  Arabian",4.5,107,500
Longitude Bar,"Le Meridien,MG Road, Gurgaon", Gurgaon,Gurgaon,Finger Food,4.5,10,3000
Blue Tokai Coffee Roasters,"Novotel Kolkata Hotel and Residencies,New Town, 24 Parganas North", 24 Parganas North,Kolkata,"Fast Food,  Coffee",1.0,1,800
Anna Dosa,"Naya Gaon, North Chandigarh", North Chandigarh,Chandigarh,South Indian,5.0,1,200
Lobby Bar,"Holiday Inn Agra MG Road,Civil Lines, North Agra", North Agra,Agra,Finger Food,4.5,4,2000
We Knead It,"Thaltej, West Ahmedabad", West Ahmedabad,Ahmedabad,"Desserts,  Bakery and Confectionary",5.0,3,300
Bird Box - Bar & Cafe,"Zen Building,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Italian,  Chinese",4.3,112,1200
CnP House - Chicken And Paratha,"Wakad, West Pune", West Pune,Pune,"North Indian,  Biryani",4.7,3,800
Aab-o-Dana at Hilltop,"Hotel Hilltop Palace,Fateh Sagar, West Udaipur", West Udaipur,Udaipur,North Indian,4.3,3,2100
Shree Mahalakshmi Sweets,"Banashankari, South Bangalore", South Bangalore,Bangalore,"Mithai,  Street Food",2.5,2,400
TDS Restro Lounge,"Milestone Building,Ramdaspeth, West Nagpur", West Nagpur,Nagpur,"North Indian,  Chinese,  Continental,  Seafood",4.4,21,2300
SHOWOFF Bar & Kitchen,"Airen Heights,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Continental,  Italian",3.9,109,1600
Flavor,"Makarpura GIDC, South Vadodara", South Vadodara,Vadodara,"North Indian,  Chinese",2.7,3,900
Khana Khazana,"Hotel Inder Residency,Ellis Bridge, Central Ahmedabad", Central Ahmedabad,Ahmedabad,"North Indian,  Italian,  Continental,  Asian",3.6,26,1200
The Artist House,"Surajpole, Central Udaipur", Central Udaipur,Udaipur,"North Indian,  Italian,  Fast Food",4.3,64,800
Sam's Pizza,"Lakhani Chambers,Bapunagar, East Ahmedabad", East Ahmedabad,Ahmedabad,"Pizza,  Italian,  Desserts,  Ice Cream",3.6,12,600
Dublin 88 - The Irish Hub,"Vayu Sena, West Nagpur", West Nagpur,Nagpur,"North Indian,  Continental",3.6,5,1300
Froozo,"Trivia Mall,Vadiwadi, Central Vadodara", Central Vadodara,Vadodara,"Fast Food,  Waffle,  Desserts",5.0,1,700
Hyderabadi's,"Fatehgunj, North Vadodara", North Vadodara,Vadodara,"North Indian,  Biryani",4.6,25,500
Ahoy Resto,"Kompally, Secunderabad", Secunderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Continental,  South Indian",4.3,49,900
Pind Balluchi,"Indirapuram Habitat Centre,Indirapuram, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Mughlai",4.1,216,1000
The Kylin Experience,"Worldmark 2,Aerocity, South Delhi", South Delhi,Delhi,"Asian,  Chinese,  Thai,  Vietnamese,  Sushi",4.5,192,2700
